csv_original,db_species_id,db_german_name,db_latin_name,match_reason
Acer Platanoides(Spitzahorn),131,Spitz-Ahorn,Acer platanoides,Exact Latin match: 'Acer Platanoides'
Fagus silvatica(Rotbirke),123,Rotbuche,Fagus sylvatica,Latin genus match only: Fagus → Fagus sylvatica
3. Schlehe,125,Schlehe,Prunus spinosa,Exact German match: 'Schlehe'
12. Gemeiner Hollunder,129,Schwarzer Holunder,Sambucus nigra,Partial German match: 'Gemeiner Holunder' → 'Schwarzer Holunder' (common: {'holunder'})
"Pinus larix, Lerche",105,Europäische Lärche,Larix decidua,Exact Latin match: 'Larix decidua'
"Sambucus nigra,Gemeiner Hollunder",129,Schwarzer Holunder,Sambucus nigra,Exact Latin match: 'Sambucus nigra'
"Betula alba,Birke",112,Hänge-Birke,Betula alba,Exact Latin match: 'Betula alba'
"Corylus avellana,Haselnuß",113,Hasel,Corylus avellana,Exact Latin match: 'Corylus avellana'
"Prunus spinosa,Schlehe",125,Schlehe,Prunus spinosa,Exact Latin match: 'Prunus spinosa'
"Pinus abies, Weißtanne",133,Tanne,Abies alba,Exact German match: 'Tanne'
"Pinus picea,Fichte",107,Fichte,Picea abies,Exact German match: 'Fichte'
"Pinus sylvestris,Föher",118,Kiefer,Pinus sylvestris,Exact Latin match: 'Pinus sylvestris'
"Pinus larix,Lerche",105,Europäische Lärche,Larix decidua,Exact Latin match: 'Larix decidua'
"Sorbus aucuparia,Vogelbeerbaum",103,Eberesche,Sorbus aucuparia,Exact Latin match: 'Sorbus aucuparia'
"Crataegus oxyacantha,Weißdorn",138,Zweigriffliger Weißdorn,Crataegus laevigata,Latin genus match only: Crataegus → Crataegus laevigata
"Pyrus communis, Holzbirn",322,"Birne, späte Reife",Pyrus communis,Exact Latin match: 'Pyrus communis'
"Erica vulgaris,Haide",114,Heidekraut,Calluna vulgaris,Exact Latin match: 'Calluna vulgaris'
"Salix caprea,Saalweide",124,Sal-Weide,Salix caprea,Exact Latin match: 'Salix caprea'
"Fragaria vesca,Gemeine Erdbeere",384,Erdbeere,Fragaria,Latin genus match only: Fragaria → Fragaria
"Pyrus malus, Holzapfel",322,"Birne, späte Reife",Pyrus communis,Latin genus match only: Pyrus → Pyrus communis
FichtePinus picea,107,Fichte,Picea abies,Exact German match: 'Fichte'
Socbus aucuparia(Vogelbeere),103,Eberesche,Sorbus aucuparia,Exact Latin match: 'Sorbus aucuparia'
Sambucus nigra(Schwarzer Holunder),129,Schwarzer Holunder,Sambucus nigra,Exact Latin match: 'Sambucus nigra'
